source_file,text,links,html,field_name
mis.bogazici.edu.tr_content_bilgin-metin.html,Prof. Dr.(Head of Department),,,field-name-field-body-computed
mis.bogazici.edu.tr_content_bilgin-metin.html,bilgin.metin@bogazici.edu.tr,,,field-name-field-email
mis.bogazici.edu.tr_content_bilgin-metin.html,+90 (212) 359 7771B211,,,field-name-field-phone-number
mis.bogazici.edu.tr_content_bilgin-metin.html,https://sciprofiles.com/profile/bilginmetin,,,field-name-field-website
mis.bogazici.edu.tr_content_bilgin-metin.html,"Education:High School:Haydarpaşa Technical High School (Electronics)Undergraduate:İstanbul Technical University,Electronics and Communications EngineeringM.A.:Bogazici University,Electrical EngineeringPh.D.:Bogazici University,Electrical Engineering",,,field-name-field-education
mis.bogazici.edu.tr_content_bilgin-metin.html,Courses Taught:MIS 251 -Information Technology  InfrastructuresMIS 252 - Business Data CommunicationsMIS 466 - Cyber SecurityMIS 513 - Information Communication Technology GovernanceMIS 681 - Sp.Tp. Cyber SecurityBIS 552 - Cloud Computing for BusinessBIS 553 - Cybersecurity for Business,,,field-name-field-courses-taught
mis.bogazici.edu.tr_content_bilgin-metin.html,Research Interests:Cyber securityInformation Security and  Risk AnalysisInformation Technology Governance and Information Security ManagementElectronic Circuits for Telecommunication SystemsAI for CybersecurityAI for Governance,,,field-name-field-research-interests
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin  B., Özhan F. G., and Wynn M., (2024), ""Digitalisation and Cybersecurity: Towards an Operational Framework"" Electronics, Vol.  13, no. 21: 4226.https://doi.org/10.3390/electronics13214226",https://doi.org/10.3390/electronics13214226,"<li>Metin  B., Özhan F. G., and Wynn M., (2024), ""Digitalisation and Cybersecurity: Towards an Operational Framework"" Electronics, Vol.  13, no. 21: 4226. <a href=""https://doi.org/10.3390/electronics13214226"">https://doi.org/10.3390/electronics13214226</a></li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Metin, B.; Duran, S.; Telli, E.; Mutlutürk, M.; Wynn, M. (2024) “IT Risk Management: Towards a System for Enhancing Objectivity in Asset Valuation that Engenders a Security Culture”, Information,  Vol: 15, No: 55,https://doi.org/10.3390/info15010055",https://doi.org/10.3390/info15010055,"<li>Metin, B.; Duran, S.; Telli, E.; Mutlutürk, M.; Wynn, M. (2024) “IT Risk Management: Towards a System for Enhancing Objectivity in Asset Valuation that Engenders a Security Culture”, Information,  Vol: 15, No: 55, <a href=""https://doi.org/10.3390/info15010055"">https://doi.org/10.3390/info15010055</a></li>",field-name-field-international-article
mis.bogazici.edu.tr_content_bilgin-metin.html,"Mutluturk M., Metin B., (2023) “Mapping The Phishing Attacks Research Landscape: A Bibliometric Analysis And Taxonomy”, Journal of Theoretical and Applied Information Technology, Vol: 101, No: 21 (Scopus).",,"<li>Mutluturk M., Metin B., (2023) “Mapping The Phishing Attacks Research Landscape: A Bibliometric Analysis And Taxonomy”, Journal of Theoretical and Applied Information Technology, Vol: 101, No: 21 (Scopus).</li>",field-name-field-international-article
